17JAN99  16FEB99  1425  .0735                                                   
17FEB99  20MAR99  1374  .0735                                                   
21MAR99  18APR99  1268  .0735                                                   
19APR99  19MAY99  1218  .0735                                                   
20MAY99  19JUN99  1253  .0795                                                   
20JUN99  18JUL99  1349  .0835                                                   
19JUL99  17AUG99  1421  .0835                                                   
18AUG99  18SEP99  1475  .0835                                                   
19SEP99  18OCT99  1278  .0835                                                   
19OCT99  17NOV99  1233  .0795                                                   
18NOV99  15DEC99  1381  .0735                                                   
15DEC99  14JAN00  1402  .0735                                                   
