1051 TENNIS SWIMMING AEROBICS                                                   
1052 JOGGING BASKETBALL                                                         
1053 AEROBICS SWIMMING CYCLING                                                  
1054 GOLF JOGGING TENNIS                                                        
1055 WALKING AEROBICS                                                           
1056 TENNIS SWIMMING                                                            
1057 FOOTBALL GOLF TENNIS                                                       
1058 BASEBALL SWIMMING CYCLING                                                  
1059 AEROBICS WALKING SQUASH                                                    
1060 WALKING                                                                    
1061 TENNIS SWIMMING AEROBICS                                                   
1062 GOLF SWIMMING TENNIS                                                       
1063 AEROBICS SWIMMING CYCLING                                                  
1064 SWIMMING WALKING SQUASH                                                    
1065 WALKING AEROBICS TENNIS                                                    
1066 TENNIS                                                                     
1067 FOOTBALL BASEBALL GOLF                                                     
1068 AEROBICS SWIMMING CYCLING                                                  
1069 WALKING GOLF TENNIS                                                        
1070 WALKING AEROBICS                                                           
1071 TENNIS SWIMMING                                                            
1072 FOOTBALL BASKETBALL TENNIS                                                 
1073 AEROBICS GOLF CYCLING                                                      
1074 AEROBIC                                                                    
1075 WALKING AEROBICS TENNIS                                                    
1076 TENNIS SWIMMING AEROBICS                                                   
1077 VOLLEYBALL                                                                 
1078 AEROBICS SWIMMING CYCLING                                                  
1079 TENNIS SQUASH VOLLEYBALL                                                   
1080 SWIMMING VOLLEYBALL                                                        
1081 TENNIS SWIMMING AEROBICS                                                   
1082 FOOTBALL BASKETBALL TENNIS                                                 
1083 AEROBICS SWIMMING CYCLING                                                  
1084 GOLF                                                                       
1085 WALKING AEROBICS                                                           
1086 WALKING SWIMMING AEROBICS                                                  
1087 BASKETBALL TENNIS                                                          
1088 BASEBALL SWIMMING CYCLING                                                  
1089 AEROBICS WALKING                                                           
1090 BASKETBALL AEROBICS TENNIS                                                 
