0000076JRSFRA  776 319 217 106    0
0000078DXBFRA 30241242 846 412    2
0000082JEDLHR 29671219 830 405    2
0000084JNBLHR 567023301588 774    4
0000086CPTFRA 586124081641 799    4
0000088NBOFRA 394516211105 538    2
0000089JRSDEL 25101031 703 342    2
0000076JRSFRA  776 387 264 128    1
0000078DXBFRA 302415081028 501    2
0000082JEDLHR 296714801008 491    2
0000084JNBLHR 567028291928 939    4
0000086CPTFRA 586129241992 971    4
0000088NBOFRA 394519681341 654    3
0000089JRSDEL 25101252 853 416    2
0000076JRSFRA  776 455 310 151    1
0000078DXBFRA 302417741209 589    3
0000082JEDLHR 296717411186 578    3
0000084JNBLHR 5670332822681105    5
0000086CPTFRA 5861344023441142    5
0000088NBOFRA 394523151578 769    4
0000089JRSDEL 251014731004 489    2
0000076JRSFRA  776 360 245 120    1
0000078DXBFRA 30241403 956 466    2
0000082JEDLHR 29671377 938 458    2
0000084JNBLHR 567026331794 875    4
0000086CPTFRA 586127211854 903    4
0000088NBOFRA 394518321249 608    3
0000089JRSDEL 25101165 794 386    2
0000076JRSFRA  776 399 271 133    1
0000078DXBFRA 302415531058 515    2
0000082JEDLHR 296715241038 506    2
0000084JNBLHR 567029131985 968    4
0000086CPTFRA 586130102051 999    5
0000088NBOFRA 394520261381 673    3
0000089JRSDEL 25101289 879 428    2
0000076JRSFRA  776 431 293 143    1
0000078DXBFRA 302416771142 556    3
0000082JEDLHR 296716461121 547    3
0000084JNBLHR 5670314621441045    5
0000086CPTFRA 5861325122151079    5
0000088NBOFRA 394521881492 726    3
0000089JRSDEL 25101392 949 462    2
0000076JRSFRA  776 479 326 159    1
0000078DXBFRA 302418631269 618    3
0000082JEDLHR 296718291245 608    3
0000084JNBLHR 5670349523821161    5
0000086CPTFRA 5861361224621199    6
0000088NBOFRA 394524321658 807    4
0000089JRSDEL 251015471055 513    2
