IA10800,01JAN2019,6:35
IA10801,01JAN2019,9:35
IA10802,01JAN2019,12:35
IA10803,01JAN2019,15:35
IA10804,01JAN2019,18:35
IA10805,01JAN2019,21:35
IA10800,01JAN2019,6:35
IA10801,01JAN2019,9:35
IA10802,01JAN2019,12:35
IA10803,01JAN2019,15:35
IA10804,01JAN2019,18:35
IA10805,01JAN2019,21:35
IA10800,01JAN2019,6:35
IA10801,01JAN2019,9:35
IA10802,01JAN2019,12:35
IA10803,01JAN2019,15:35
IA10804,01JAN2019,18:35
IA10805,01JAN2019,21:35
IA10800,01JAN2019,6:35
IA10801,01JAN2019,9:35
IA10802,01JAN2019,12:35
IA10803,01JAN2019,15:35
IA10804,01JAN2019,18:35
IA10805,01JAN2019,21:35
IA10800,01JAN2019,6:35
