0000002LHRRDU 389316001090 531    2
0000004FRARDU 428817611201 585    3
0000043LHRCDG  223  91  62  30    0
0000044CDGLHR  223  91  62  30    0
0000045LHRGLA  347 142  97  47    0
0000046GLALHR  347 142  97  47    0
0000047LHRFRA  397 163 111  54    0
0000048FRALHR  397 163 111  54    0
0000049LHRBRU  207  85  57  28    0
0000050BRULHR  207  85  57  28    0
0000051LHRGVA  465 190 130  63    0
0000052GVALHR  465 190 130  63    0
0000055FRAFCO  595 244 167  81    0
0000056FCOFRA  595 244 167  81    0
0000057FRACPH  424 174 118  57    0
0000059CDGMAD  644 265 180  88    0
0000060MADCDG  644 265 180  88    0
0000061CDGLIS  899 369 251 123    1
0000062LISCDG  899 369 251 123    1
0000063FRAFBU  690 284 193  94    0
0000065FRAARN  747 307 209 102    0
0000067LHRPRG  648 266 181  88    0
0000068PRGLHR  648 266 181  88    0
0000069LHRAMS  220  90  62  29    0
0000071FRAVIE  374 153 104  50    0
0000072VIEFRA  374 153 104  50    0
0000073FRAATH 1129 463 316 154    1
0000074ATHFRA 1129 463 316 154    1
0000075FRAJRS 1864 766 522 254    1
0000077FRADXB 30241242 846 412    2
0000079LHRHEL 1140 468 319 155    1
0000081LHRJED 29671219 830 405    2
0000083LHRJNB 567023301588 774    4
0000085FRACPT 586124081641 799    4
0000087FRANBO 394516211105 538    2
0000002LHRRDU 389319421323 645    3
0000004FRARDU 428821391458 711    3
0000043LHRCDG  223 111  76  37    0
0000044CDGLHR  223 111  76  37    0
0000045LHRGLA  347 173 117  57    0
0000046GLALHR  347 173 117  57    0
0000047LHRFRA  397 198 134  65    0
0000048FRALHR  397 198 134  65    0
0000049LHRBRU  207 103  70  34    0
0000050BRULHR  207 103  70  34    0
0000051LHRGVA  465 231 158  77    0
0000052GVALHR  465 231 158  77    0
0000055FRAFCO  595 297 202  99    0
0000056FCOFRA  595 297 202  99    0
0000057FRACPH  424 211 144  70    0
