CFR009 SPOTTISWOOD H 3                                                          
CFR009 SPOTTISWOOD P 6                                                          
RJH340 ROCHESTER H 2                                                            
RJH340 ROCHESTER P 12                                                           
KRS102 DASEM H 7                                                                
KRS102 DASEM P 11                                                               
ASD777 ROLLINGS H 0                                                             
ASD777 ROLLINGS P 5                                                             
NZE002 FRIEDMANN H 4                                                            
NZE002 FRIEDMANN P 8                                                            
BAE487 HOLLOWAIT H 3                                                            
BAE487 HOLLOWAIT P 18                                                           
UNM578 MARSHALL H 1                                                             
UNM578 MARSHALL P 15                                                            
LAR333 PLAGENHOEF H 9                                                           
LAR333 PLAGENHOEF P 21                                                          
BSX892 PORTERFIELD H 5                                                          
BSX892 PORTERFIELD P 8                                                          
TXT894 HELLINGS H 7                                                             
TXT894 HELLINGS P 7                                                             
