0000058CPHFRA  424 174 118  57    0
0000064FBUFRA  690 284 193  94    0
0000066ARNFRA  747 307 209 102    0
0000070AMSLHR  220  90  62  29    0
0000080HELLHR 1140 468 319 155    1
0000058CPHFRA  424 211 144  70    0
0000064FBUFRA  690 344 235 114    1
0000066ARNFRA  747 372 253 123    1
0000070AMSLHR  220 110  75  36    0
0000080HELLHR 1140 569 388 189    1
0000058CPHFRA  424 248 169  82    0
0000064FBUFRA  690 405 276 134    1
0000066ARNFRA  747 438 298 145    1
0000070AMSLHR  220 129  88  42    0
0000080HELLHR 1140 669 456 222    1
0000058CPHFRA  424 197 133  64    0
0000064FBUFRA  690 321 218 106    0
0000066ARNFRA  747 347 236 115    1
0000070AMSLHR  220 102  70  33    0
0000080HELLHR 1140 529 360 175    1
0000058CPHFRA  424 218 148  71    0
0000064FBUFRA  690 355 241 118    1
0000066ARNFRA  747 384 261 128    1
0000070AMSLHR  220 113  78  36    0
0000080HELLHR 1140 585 399 194    1
0000058CPHFRA  424 235 159  77    0
0000064FBUFRA  690 383 261 127    1
0000066ARNFRA  747 414 282 138    1
0000070AMSLHR  220 122  84  39    0
0000080HELLHR 1140 632 431 209    1
0000058CPHFRA  424 261 177  86    0
0000064FBUFRA  690 426 290 141    1
0000066ARNFRA  747 461 314 153    1
0000070AMSLHR  220 135  93  44    0
0000080HELLHR 1140 702 479 233    1
