100 02AUG99 R   6  30.00  180.00                                                
103 03AUG99 C  20   3.99   79.80                                                
102 04AUG99 T   4 200.00  800.00                                                
103 08AUG99 T   5 200.00 1000.00                                                
102 09AUG99 R  15  30.00  450.00                                                
101 10AUG99 C 100   3.99  399.00                                                
101 12AUG99 R  18  30.00  540.00                                                
104 15AUG99 T  10 200.00 2000.00                                                
103 18AUG99 C   9   3.99   35.91                                                
100 22AUG99 T   3 200.00  600.00                                                
102 23AUG99 R  10  30.00  300.00                                                
100 25AUG99 C 100   3.99  399.00                                                
101 30AUG99 T   3 200.00  600.00                                                
