IA10800,23700,14762
IA10801,34500,14762
IA10802,45300,14762
IA10803,56100,14762
IA10804,66900,14762
IA10805,77700,14762
IA10800,23700,14763
IA10801,34500,14763
IA10802,45300,14763
IA10803,56100,14763
IA10804,66900,14763
IA10805,77700,14763
IA10800,23700,14764
IA10801,34500,14764
IA10802,45300,14764
IA10803,56100,14764
IA10804,66900,14764
IA10805,77700,14764
IA10800,23700,14765
IA10801,34500,14765
IA10802,45300,14765
IA10803,56100,14765
IA10804,66900,14765
IA10805,77700,14765
IA10800,23700,14766
IA10801,34500,14766
IA10802,45300,14766
IA10803,56100,14766
IA10804,66900,14766
IA10805,77700,14766
IA10800,23700,14767
IA10801,34500,14767
IA10802,45300,14767
IA10803,56100,14767
IA10804,66900,14767
IA10805,77700,14767
IA10800,23700,14768
IA10801,34500,14768
IA10802,45300,14768
IA10803,56100,14768
IA10804,66900,14768
IA10805,77700,14768
IA10800,23700,14769
IA10801,34500,14769
IA10802,45300,14769
IA10803,56100,14769
IA10804,66900,14769
IA10805,77700,14769
IA10800,23700,14770
IA10801,34500,14770
