0000102SYDHKG 460818931290 629    3
0000103SYDCBR  158  64  44  21    0
0000104CBRSYD  158  64  44  21    0
0000105CBRWLG 1453 596 407 198    1
0000106WLGCBR 1453 596 407 198    1
0000107WLGAKL  310 127  87  42    0
0000108AKLWLG  310 127  87  42    0
0000102SYDHKG 460822981567 763    4
0000103SYDCBR  158  78  54  26    0
0000104CBRSYD  158  78  54  26    0
0000105CBRWLG 1453 724 494 241    1
0000106WLGCBR 1453 724 494 241    1
0000107WLGAKL  310 154 105  51    0
0000108AKLWLG  310 154 105  51    0
0000102SYDHKG 460827041843 898    4
0000103SYDCBR  158  92  63  30    0
0000104CBRSYD  158  92  63  30    0
0000105CBRWLG 1453 852 581 283    1
0000106WLGCBR 1453 852 581 283    1
0000107WLGAKL  310 181 124  60    0
0000108AKLWLG  310 181 124  60    0
0000102SYDHKG 460821391458 711    3
0000103SYDCBR  158  72  50  24    0
0000104CBRSYD  158  72  50  24    0
0000105CBRWLG 1453 673 460 224    1
0000106WLGCBR 1453 673 460 224    1
0000107WLGAKL  310 144  98  47    0
0000108AKLWLG  310 144  98  47    0
0000102SYDHKG 460823661613 786    4
0000103SYDCBR  158  80  55  26    0
0000104CBRSYD  158  80  55  26    0
0000105CBRWLG 1453 745 509 248    1
0000106WLGCBR 1453 745 509 248    1
0000107WLGAKL  310 159 109  53    0
0000108AKLWLG  310 159 109  53    0
0000102SYDHKG 460825561742 849    4
0000103SYDCBR  158  86  59  28    0
0000104CBRSYD  158  86  59  28    0
0000105CBRWLG 1453 805 549 267    1
0000106WLGCBR 1453 805 549 267    1
0000107WLGAKL  310 171 117  57    0
0000108AKLWLG  310 171 117  57    0
0000102SYDHKG 460828401935 944    4
0000103SYDCBR  158  96  66  32    0
0000104CBRSYD  158  96  66  32    0
0000105CBRWLG 1453 894 611 297    1
0000106WLGCBR 1453 894 611 297    1
0000107WLGAKL  310 191 131  63    0
0000108AKLWLG  310 191 131  63    0
