0000001RDULHR 389316001090 531    2
0000003RDUFRA 428817611201 585    3
0000005RDUJFK  428 176 120  58    0
0000006JFKRDU  428 176 120  58    0
0000007RDUSFO 2419 993 677 330    2
0000008SFORDU 2419 993 677 330    2
0000009RDULAX 2255 926 631 307    1
0000010LAXRDU 2255 926 631 307    1
0000011RDUORD  645 265 181  88    0
0000012ORDRDU  645 265 181  88    0
0000013RDUIAD  233  95  65  32    0
0000014IADRDU  233  95  65  32    0
0000015RDUSEA 2372 974 664 323    1
0000016SEARDU 2372 974 664 323    1
0000017SEASFO  683 280 191  93    0
0000018SFOSEA  683 280 191  93    0
0000019RDUBOS  615 252 172  83    0
0000020BOSRDU  615 252 172  83    0
0000021RDUDFW 1061 435 297 144    1
0000022DFWRDU 1061 435 297 144    1
0000023RDUBHM  488 200 137  67    0
0000024BHMRDU  488 200 137  67    0
0000025RDUIND  502 206 140  68    0
0000026INDRDU  502 206 140  68    0
0000027RDUMIA  699 287 195  95    0
0000028MIARDU  699 287 195  95    0
0000029SFOHNL 2406 988 673 328    2
0000030HNLSFO 2406 988 673 328    2
0000031SFOANC 2025 832 567 276    1
0000032ANCSFO 2025 832 567 276    1
0000033RDUANC 35021439 980 477    2
0000034ANCRDU 35021439 980 477    2
0000035RDUBNA  453 186 127  62    0
0000036BNARDU  453 186 127  62    0
0000037RDUMSY  779 320 218 106    0
0000038MSYRDU  779 320 218 106    0
0000039RDUMCI  908 372 254 124    1
0000040MCIRDU  908 372 254 124    1
0000041RDUPWM  705 289 197  96    0
0000042PWMRDU  705 289 197  96    0
0000053RDULAX 2255 926 631 307    1
0000054LAXRDU 2255 926 631 307    1
0000112SFOHND 516921231447 705    3
0000001RDULHR 389319421323 645    3
0000003RDUFRA 428821391458 711    3
0000005RDUJFK  428 213 145  71    0
0000006JFKRDU  428 213 145  71    0
0000007RDUSFO 24191206 822 400    2
0000008SFORDU 24191206 822 400    2
0000009RDULAX 22551125 767 373    2
