IA10200,0000102,SYD,HKG,19,35,201,255,105500,14610,16,27,156,30288,34830,98124,JAN2000,65700,191187
IA02405,0000024,BHM,RDU,12,,138,150,36900,14613,12,,126,2400,,8442,JAN2000,9300,2883
IA09105,0000091,DEL,CCU,12,,138,150,36900,14616,10,,135,3360,,14985,JAN2000,7900,4108
IA03200,0000032,ANC,SFO,16,,251,267,77400,14620,13,,251,10816,,69276,JAN2000,24600,31242
IA09204,0000092,CCU,DEL,12,,138,150,36900,14623,10,,108,3360,,11988,JAN2000,13300,6916
IA01703,0000017,SEA,SFO,12,,138,150,36900,14627,10,,120,2800,,11160,JAN2000,10900,4687
IA10500,0000105,CBR,WLG,28,52,157,237,85900,14631,24,41,137,14304,16687,27126,JAN2000,45500,41860
IA04505,0000045,LHR,GLA,14,,125,139,39700,14634,11,,94,1562,,4418,JAN2000,18700,4114
IA10305,0000103,SYD,CBR,12,,138,150,36900,14638,10,,115,640,,2415,JAN2000,11900,1190
IA02301,0000023,RDU,BHM,12,,138,150,36900,14641,12,,106,2400,,7102,FEB2000,13300,4123
IA10500,0000105,CBR,WLG,28,52,157,237,85900,14645,23,51,137,13708,20757,27126,FEB2000,43700,40204
IA06202,0000062,LIS,CDG,14,,125,139,39700,14648,13,,98,4797,,12054,FEB2000,17500,9975
IA10400,0000104,CBR,SYD,12,,138,150,36900,14652,11,,111,704,,2331,FEB2000,12500,1250
IA04603,0000046,GLA,LHR,14,,125,139,39700,14655,14,,94,1988,,4418,FEB2000,18100,3982
IA10501,0000105,CBR,WLG,28,52,157,237,85900,14659,28,43,141,16688,17501,27918,FEB2000,43500,40020
IA01805,0000018,SFO,SEA,12,,138,150,36900,14662,12,,104,3360,,9672,FEB2000,13700,5891
IA10303,0000103,SYD,CBR,12,,138,150,36900,14666,11,,131,704,,2751,FEB2000,8500,850
IA00300,0000003,RDU,FRA,14,30,163,207,82400,14670,11,29,147,19371,34829,85995,MAR2000,45000,121500
IA09102,0000091,DEL,CCU,12,,138,150,36900,14673,12,,132,4032,,14652,MAR2000,8100,4212
IA02604,0000026,IND,RDU,12,,138,150,36900,14677,10,,119,2060,,8092,MAR2000,11100,3552
IA10700,0000107,WLG,AKL,12,,138,150,36900,14681,10,,117,1270,,4914,MAR2000,11500,2300
IA05204,0000052,GVA,LHR,14,,125,139,39700,14684,13,,96,2470,,6048,MAR2000,17900,5191
IA10601,0000106,WLG,CBR,28,52,157,237,85900,14688,24,42,140,14304,17094,27720,MAR2000,44700,41124
IA03000,0000030,HNL,SFO,14,30,163,207,82400,14691,11,30,150,10868,20190,49200,MAR2000,44200,67184
IA10303,0000103,SYD,CBR,12,,138,150,36900,14695,12,,137,768,,2877,MAR2000,7100,710
IA02100,0000021,RDU,DFW,12,,138,150,36900,14698,11,,132,4785,,19008,MAR2000,8300,5561
IA10300,0000103,SYD,CBR,12,,138,150,36900,14702,11,,131,704,,2751,APR2000,8500,850
IA02803,0000028,MIA,RDU,12,,138,150,36900,14705,10,,112,2870,,10640,APR2000,12500,5500
IA10601,0000106,WLG,CBR,28,52,157,237,85900,14709,27,48,126,16092,19536,24948,APR2000,45700,42044
IA02603,0000026,IND,RDU,12,,138,150,36900,14712,10,,133,2060,,9044,APR2000,8300,2656
IA07002,0000070,AMS,LHR,14,,125,139,39700,14715,11,,123,990,,3567,APR2000,12900,1806
IA10703,0000107,WLG,AKL,12,,138,150,36900,14719,12,,123,1524,,5166,APR2000,9900,1980
IA09401,0000094,SIN,CCU,28,52,157,237,85900,14722,24,52,126,17832,26364,31122,APR2000,45500,51870
IA03904,0000039,RDU,MCI,12,,138,150,36900,14726,12,,107,4464,,13268,APR2000,13100,7467
IA07101,0000071,FRA,VIE,14,,125,139,39700,14729,12,,99,1836,,4950,APR2000,17500,4200
IA01001,0000010,LAX,RDU,16,,251,267,77400,14733,13,,227,12038,,69689,MAY2000,29400,41748
IA06902,0000069,LHR,AMS,14,,125,139,39700,14736,14,,123,1260,,3567,MAY2000,12300,1722
IA10501,0000105,CBR,WLG,28,52,157,237,85900,14740,25,47,141,14900,19129,27918,MAY2000,43300,39836
IA08900,0000089,JRS,DEL,14,30,163,207,82400,14743,12,29,133,12372,20387,45486,MAY2000,47600,75208
IA10705,0000107,WLG,AKL,12,,138,150,36900,14747,10,,122,1270,,5124,MAY2000,10500,2100
IA06600,0000066,ARN,FRA,14,,125,139,39700,14750,12,,123,3684,,12546,MAY2000,12700,5969
IA10701,0000107,WLG,AKL,12,,138,150,36900,14754,12,,105,1524,,4410,MAY2000,13500,2700
IA05202,0000052,GVA,LHR,14,,125,139,39700,14757,12,,101,2280,,6363,MAY2000,17100,4959
IA10803,0000108,AKL,WLG,12,,138,150,36900,14761,12,,116,1524,,4872,MAY2000,11300,2260
