0000090DELJRS 25101031 703 342    2
0000091DELCCU  819 336 229 111    1
0000092CCUDEL  819 336 229 111    1
0000093CCUSIN 1811 743 507 247    1
0000094SINCCU 1811 743 507 247    1
0000095SINBKK  895 368 251 122    1
0000096BKKSIN  895 368 251 122    1
0000097CCUPEK 2028 833 568 277    1
0000098PEKCCU 2028 833 568 277    1
0000099CCUHKG 1652 678 462 225    1
0000100HKGCCU 1652 678 462 225    1
0000101HKGSYD 460818931290 629    3
0000109HKGHND 1801 740 504 246    1
0000110HNDHKG 1801 740 504 246    1
0000111HNDSFO 516921231447 705    3
0000090DELJRS 25101252 853 416    2
0000091DELCCU  819 408 278 135    1
0000092CCUDEL  819 408 278 135    1
0000093CCUSIN 1811 903 615 300    1
0000094SINCCU 1811 903 615 300    1
0000095SINBKK  895 446 304 148    1
0000096BKKSIN  895 446 304 148    1
0000097CCUPEK 20281012 689 336    2
0000098PEKCCU 20281012 689 336    2
0000099CCUHKG 1652 824 561 274    1
0000100HKGCCU 1652 824 561 274    1
0000101HKGSYD 460822981567 763    4
0000109HKGHND 1801 898 612 298    1
0000110HNDHKG 1801 898 612 298    1
0000111HNDSFO 516925781757 856    4
0000090DELJRS 251014731004 489    2
0000091DELCCU  819 480 327 159    1
0000092CCUDEL  819 480 327 159    1
0000093CCUSIN 18111062 724 353    2
0000094SINCCU 18111062 724 353    2
0000095SINBKK  895 525 358 174    1
0000096BKKSIN  895 525 358 174    1
0000097CCUPEK 20281190 811 395    2
0000098PEKCCU 20281190 811 395    2
0000099CCUHKG 1652 969 660 322    1
0000100HKGCCU 1652 969 660 322    1
0000101HKGSYD 460827041843 898    4
0000109HKGHND 18011057 720 351    2
0000110HNDHKG 18011057 720 351    2
0000111HNDSFO 5169303320671007    5
0000090DELJRS 25101165 794 386    2
0000091DELCCU  819 380 259 125    1
0000092CCUDEL  819 380 259 125    1
0000093CCUSIN 1811 840 573 279    1
0000094SINCCU 1811 840 573 279    1
