A01 2  -1.029736  0.672946  1.166597 -0.238051 -0.601943  2.158855
A01 2  -1.370752  1.359972 -1.239325 -0.327307  1.187833  2.367452
A02 2  -0.865717 -0.906307 -0.385790 -0.608350 -0.556955 -0.469140
A02 2    .         .         .       -1.012958 -1.108592 -1.391897
A03 2   0.040340 -0.251226  1.717851 -0.327307 -0.601943 -0.162818
A03 2  -0.341208  0.767492 -1.326462 -0.327307 -0.601943  1.324469
A04 1  -1.591425 -0.826237  1.340852 -0.905418 -0.032237 -0.051947
A04 1    .         .         .       -0.816162 -0.556955 -0.117133
A05 2  -0.461316 -0.948024 -0.427705 -0.159176 -0.592173  1.025556
A05 2   1.089541  0.146523 -0.765546  0.641249  1.107157  1.305355
A06 2    .         .         .       -1.254100 -1.162938 -0.113056
A06 2    .         .         .        0.457332  0.864072  1.644088
B01 2    .         .         .        0.661599  0.837991 -0.398327
B01 2    .         .         .        0.304574  2.248973 -0.398327
B02 2   0.977088 -0.719136  0.009592 -0.721082 -0.633464  0.196973
B02 2   0.275999  0.293907 -2.245721 -1.096390  0.797564  1.453524
B03 2  -0.742996 -0.923366  0.855721 -0.676971 -0.741864 -0.528768
B03 2   0.640828  0.461074  1.418190 -0.052858  0.381081 -0.528768
B04 1   0.203684 -0.203905  0.774314 -0.296299  0.251458  0.919860
B04 1  -0.455483  0.756357  0.805329 -0.830816  0.264210  0.973572
B05 2   0.210704 -1.968932  0.546926 -0.762094 -1.178584 -1.086065
B05 2  -0.707383  0.220804  0.121549  1.196103  1.424812  1.444204
B06 2  -0.738703 -1.846304  0.424256 -0.743810 -0.626947 -0.802653
B06 2  -1.145185 -0.369905  0.796321 -0.743810 -0.626947 -0.802653
B07 1    .         .         .       -1.073350 -1.204633 -0.853968
B07 1   0.132899 -0.284621  1.185093 -0.894838 -1.204633 -0.534296
B08 2    .         .         .        0.146673 -0.462580  0.062236
B08 2   1.116853  0.419607 -0.169687 -0.031840 -0.462580  0.062236
B09 2    .         .         .       -0.653435 -0.647794 -0.644841
B09 2   0.540881  0.198014  1.786495 -0.850232  1.107621 -0.928253
B10 1  -1.009463 -0.087424 -2.341434 -0.461117 -1.086205 -0.341647
B10 1  -2.227613  0.423815 -2.434152 -0.491096 -0.935379 -0.133050
B11 2   2.011009 -0.805676 -0.718152 -0.007032 -0.633464  0.751317
B11 2  -0.173510  1.688059  0.006030 -1.185646 -1.185101 -0.725784
B12 2    .         .         .         .         .         .      
B12 2   1.027891  1.819916 -0.738501 -0.123150  0.703075 -0.245356
B13 1  -0.317247  0.227973  0.824566 -0.252842 -0.639111 -0.082861
B13 1  -0.825373  0.868371 -0.464644  0.194119  1.696617  1.808064
B14 1  -0.264141 -1.201264  0.867643 -0.679075 -1.051097 -1.026223
B14 1  -1.648849 -0.863977  0.071773  0.025063  0.861464  1.027927
B16 1   0.500995 -1.463954  0.690766 -0.394686 -0.543474 -0.515911
B16 1    .         .         .       -0.928863 -0.543474 -0.196239
B17 2    .         .         .         .         .         .      
B17 2   0.286501  1.240726 -0.388124  0.349186  0.733063 -0.616859
B18 2  -0.002661 -0.851191 -0.481312 -0.344519 -0.638986 -0.304233
B18 2  -0.300967  1.167439 -1.093407  0.233777  1.371722  0.608895
B19 2   2.183813  0.725401  0.966457 -0.738468 -0.424742 -1.184556
B19 2   0.009857  1.433168 -0.907782  0.241311  1.882310  1.026042
B20 2   0.335300 -1.642830 -0.594762  0.911458  1.222934 -0.098718
B20 2    .         .         .        0.022296  1.222934  1.270715
B21 2    .         .         .         .         .         .      
B21 2    .         .         .        0.855070  0.136575  0.098002
B22 2   0.937444 -0.668383  2.574192 -0.874168 -0.039971  0.144468
B22 2   1.190203  0.295812  0.106650 -0.517143  0.543167  1.350676
B23 2  -0.129052 -1.718648  0.724081 -0.520563 -0.652954 -0.431232
B23 2    .         .         .        0.439572 -0.025563  1.815626
B24 2  -0.533653 -1.943439  0.699538 -0.630571 -1.190623 -0.587645
B24 2  -0.446645  0.662532 -0.618790 -0.719827  0.453635 -0.587645
B25 2   1.640674 -1.154541 -2.676853  0.241173  0.220861  0.530857
B25 2   0.879661 -1.297544 -2.204523  0.151237 -0.823267  0.061515
