1 1 COV  riq      1.0000   0.1839   0.2220   0.4105   0.4043   0.3355   0.1021   0.1861   0.2598   0.2903
1 1 COV  rpa      0.1839   1.0000   0.0489   0.2137   0.2742   0.0782   0.1147   0.0186   0.0839   0.1124
1 1 COV  rses     0.2220   0.0489   1.0000   0.3240   0.4047   0.2302   0.0931   0.2707   0.2786   0.3054
1 1 COV  roa      0.4105   0.2137   0.3240   1.0000   0.6247   0.2995   0.0760   0.2930   0.4216   0.3269
1 1 COV  rea      0.4043   0.2742   0.4047   0.6247   1.0000   0.2863   0.0702   0.2407   0.3275   0.3669
1 1 COV  fiq      0.3355   0.0782   0.2302   0.2995   0.2863   1.0000   0.2087   0.2950   0.5007   0.5191
1 1 COV  fpa      0.1021   0.1147   0.0931   0.0760   0.0702   0.2087   1.0000  -0.0438   0.1988   0.2784
1 1 COV  fses     0.1861   0.0186   0.2707   0.2930   0.2407   0.2950  -0.0438   1.0000   0.3607   0.4105
1 1 COV  foa      0.2598   0.0839   0.2786   0.4216   0.3275   0.5007   0.1988   0.3607   1.0000   0.6404
1 1 COV  fea      0.2903   0.1124   0.3054   0.3269   0.3669   0.5191   0.2784   0.4105   0.6404   1.0000
1 1 Mean Mean     0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
1 1 N    N      329.0000 329.0000 329.0000 329.0000 329.0000 329.0000 329.0000 329.0000 329.0000 329.0000
