   1 1  14 13 17 18 14   3 4 2
   1 1  11 14 15 10 12   3 4 2
   4 1  20 20 16 16 13   1 1 1
   4 1  17 19 13 13 14   1 1 1
   5 1  11  8 15 16 12   1 1 1
   5 1  16 13 13  8 15   1 1 1
   7 2   9 19  7 10  6   3 2 4
   7 2   8 16 15 17 11   3 2 4
  10 2  15 23 23 21 21   5 4 3
  10 2  15 13 13 20 19   5 4 3
  11 2  20 17 16 12 12   4 2 3
  11 2  19 18 13 18 15   4 2 3
  12 1  26 20 27 23 28   4 6 3
  12 1  25 20 29 24 30   4 6 3
  16 1  28 31 31 29 30   4 6 5
  16 1  27 28 28 27 30   4 6 5
  17 2  24 25 17 21 22   5 4 1
  17 2  27 25 22 24 23   5 4 1
  19 1  19 19 17 22 16   3 2 2
  19 1  19 22 13 14 17   3 2 2
  20 1   7 18 15 14  5   2 1 2
  20 1  16 15 17 15  7   2 1 2
  26 1  22 23 23 24 23   3 5 4
  26 1  21 24 24 24 26   3 5 4
  27 2   8  7 13  3 10   4 1 3
  27 2  16 15 13 14 15   4 1 3
  28 1  25 17 21 18 23   4 3 2
  28 1  22 13 19 15 19   4 3 2
  29 1  21 14 25 23 25   4 4 4
  29 1  18 17 17 20 20   4 4 4
  30 2  22 21 16 21 27   5 3 2
  30 2  24 20 25 18 26   5 3 2
  33 2  23 26 25 20 23   6 6 2
  33 2  18 13 24 18 22   6 6 2
  35 1  18 19 21 20 21   2 4 2
  35 1  23 20 16 18 24   2 4 2
  36 1  19 25 25 28 26   3 5 5
  36 1  23 29 24 23 27   3 5 5
  37 1  13 14 14 11 13   2 1 1
  37 1  14 12 13 13 16   2 1 1
  38 1  10 17 12 20  9   6 5 4
  38 1  15 16 21 14 10   6 5 4
  39 2  19 22 22 17 21   . . .
  39 2  23 26 18 24 23   . . .
  42 1  23 11 21 21 21   4 4 1
  42 1  24 23 24 21 21   4 4 1
  46 1  17  5 14 15 18   4 4 4
  46 1  20 13 13 13 18   4 4 4
  48 2  20 27 23 23 18   4 6 5
  48 2  24 28 28 31 28   4 6 5
  49 1  24 30 25 27 28   3 4 2
  49 1  27 30 25 28 29   3 4 2
  50 1  21  7 19 14 16   2 1 3
  50 1  22 14 16 18 15   2 1 3
  52 1  22 26 21 21 20   3 6 .
  52 1  24 16 25 23 22   3 6 .
  55 1  27 25 26 25 25   4 3 3
  55 1  22 30 25 27 26   4 3 3
  57 1  17 11 20 19 18   4 3 5
  57 1  20 18 20 19 18   4 3 5
  59 1  14 13 17  9 18   3 3 3
  59 1  14 14 19 13 18   3 3 3
  61 2  23 22 28 26 27   3 4 3
  61 2  27 26 26 27 28   3 4 3
  63 1  20 20 21 22 24   4 2 1
  63 1  24 25 21 23 30   4 2 1
  64 1  16 23 20 23 23   4 5 6
  64 1  21 27 25 26 25   4 5 6
  65 1  17 22 28 25 24   4 2 2
  65 1  17 23 26 25 22   4 2 2
  67 1  19 23 26 27 26   3 3 4
  67 1  17 33 25 25 27   3 3 4
  68 1  25 23 22 26 24   3 3 1
  68 1  26 30 29 21 24   3 3 1
  71 1  23 20 22 18 23   2 2 1
  71 1  25 25 27 25 23   2 2 1
  72 1  19 29 25 24 28   4 4 5
  72 1  27 24 26 24 25   4 4 5
  74 1  19 29 25 24 23   5 3 2
  74 1  14 25 15 22 18   5 3 2
  78 1  27 31 22 26 20   5 6 4
  78 1  25 25 26 28 23   5 6 4
  79 2  23 32 17 26 22   3 4 4
  79 2  18 11 15 14 18   3 4 4
  80 1  17 20 22 22 23   4 6 4
  80 1  14 21 17 15 21   4 6 4
  82 1  25 18 23 17 22   3 4 4
  82 1  27 23 28 26 29   3 4 4
  83 1  24 26 21 22 22   4 5 4
  83 1  26 25 26 24 24   4 5 4
  84 2  19 11 17 15 13   3 2 6
