1001 1 93 . 100 100 100 98 4 4 4 4
1001 1 98 . 80 110 94 96 3 3 4 3
1002 1 109 . 112 100 118 111 3 4 4 4
1002 1 112 . 109 93 94 134 4 4 . .
1003 1 96 . 94 . 120 119 3 4 3 3
1003 1 78 . 104 . 102 114 3 3 4 5
1004 1 122 . 123 115 126 112 . . 3 3
1004 1 119 . 132 122 118 114 . . 3 3
1005 1 98 . 84 78 94 105 2 2 3 3
1005 1 93 . 81 93 102 112 4 3 . .
1006 1 103 . 123 122 126 111 4 4 4 4
1006 1 109 . 127 137 114 107 4 4 3 4
1007 1 89 . 123 118 126 123 4 4 5 4
1007 1 96 . 119 115 120 121 4 4 5 3
1008 1 119 . 104 103 112 115 4 3 3 3
1008 1 106 . 119 100 106 112 4 4 3 3
1009 1 93 . 91 93 96 . . . . .
1009 1 91 . 98 88 108 . . . . .
1010 1 106 . 143 . . 114 . . 4 4
1010 1 103 . 127 . . 116 . . 4 4
1011 1 109 . 83 86 96 95 3 3 3 3
1011 1 106 . 76 78 84 92 2 3 3 3
1012 1 106 . 85 86 102 113 3 4 3 4
1012 1 100 . 85 118 118 118 4 5 4 4
1013 1 115 . 96 100 84 98 . . 3 2
1013 1 112 . 87 88 84 89 . . . .
1014 1 91 . 91 88 94 101 . . . .
1014 1 89 . 102 88 96 97 . . . .
1015 1 93 . 106 125 90 114 . . 3 4
1015 1 98 . 109 110 106 116 . . 3 4
1016 1 115 . . 108 98 112 . . . .
1016 1 106 . . 122 106 110 . . . .
1017 1 119 . 127 108 106 95 3 3 . .
1017 1 122 . 127 95 108 100 3 2 . .
1018 1 122 . 98 118 . 118 4 4 4 4
1018 1 119 . 89 115 . 118 4 3 4 3
1019 1 96 . 127 . . 112 3 3 2 4
1019 1 115 . 116 . . 116 4 4 . .
1020 1 93 . 104 100 106 110 3 3 3 3
1020 1 93 . 100 125 112 109 3 3 3 3
1021 1 112 . 119 95 88 115 4 4 4 4
1021 1 115 . 102 108 96 112 4 4 4 4
1022 1 . . 123 110 126 108 2 2 . .
1022 1 130 . 132 110 108 111 2 2 . .
1023 1 . . 100 103 96 92 2 2 2 2
1023 1 . . 93 103 102 81 2 2 2 2
1024 1 115 . 84 93 88 96 3 4 . .
1024 1 115 . 85 95 112 105 5 4 . .
1025 1 . . . . 96 91 4 3 3 3
1025 1 . . . . 100 89 4 3 4 3
1026 1 . . . . 126 118 4 4 4 4
1026 1 . . . . 118 130 5 4 4 4
1027 1 . . . . 96 . . . . .
1027 1 . . . . 94 . . . . .
1028 1 . . . . 143 130 5 5 3 5
1028 1 . . . . 114 136 5 5 5 5
1029 1 . . . . 102 109 3 4 5 4
1029 1 . . . . 102 109 3 3 3 4
1030 1 . . . . 92 . . . . .
1030 1 . . . . 104 . . . . .
1031 1 . . . . 126 . . . . .
1031 1 . . . . 110 . . . . .
1032 1 . . . . 120 . . . . .
1032 1 . . . . 112 . . . . .
1033 1 . . . . . . . . . .
1033 1 . . . . . . . . . .
1034 1 . . . . 78 . . . . .
1034 1 . . . . 88 . . . . .
1035 1 . . . . 100 99 2 1 4 3
1035 1 . . . . 90 92 1 1 . .
1036 1 63 83 98 81 90 110 3 3 4 4
1036 1 100 85 93 96 102 104 3 3 4 4
1037 1 88 . . . . 112 4 4 4 4
1037 1 97 . . . . 115 3 4 4 4
1038 1 92 83 84 62 90 80 1 1 1 1
1038 1 90 95 91 84 96 87 . . 1 2
1039 1 73 102 104 98 104 96 4 4 4 5
1039 1 84 104 116 91 112 105 4 4 4 4
1040 1 106 97 100 . 100 99 4 2 . .
1040 1 92 97 102 86 94 105 . . 2 2
1041 1 122 117 145 113 112 105 4 4 4 4
1041 1 128 108 125 113 94 104 5 5 4 4
1042 1 108 135 117 108 96 105 5 5 4 4
1042 1 126 120 130 115 112 118 3 4 4 5
1043 1 106 124 119 125 118 111 . . . .
1043 1 108 118 150 115 132 109 . . . .
1044 1 92 103 111 110 102 109 3 3 4 4
1044 1 122 105 125 103 108 96 3 3 4 4
1045 1 59 . . . . . . . . .
1045 1 59 . . . . . . . . .
1046 1 . 120 107 114 . 121 4 5 . .
1046 1 . 108 125 98 . 109 4 5 . .
1047 1 108 112 100 100 102 . . . 4 4
1047 1 92 110 121 110 106 . 4 4 4 4
1048 1 106 118 127 118 118 121 3 3 5 5
1048 1 116 124 123 125 120 112 5 4 4 4
1049 1 111 140 137 129 126 129 3 3 . .
1049 1 122 124 150 129 138 119 3 3 . .
1050 1 101 . 130 122 100 123 . . . .
1050 1 107 . 130 122 114 120 . . . .
1051 1 113 127 119 108 114 99 2 2 3 4
1051 1 100 104 114 110 112 98 2 2 3 4
1052 1 80 95 80 77 94 . . . . .
1052 1 78 83 72 67 84 . . . . .
1053 1 122 89 89 88 88 121 4 4 3 4
1053 1 95 89 87 78 96 102 . . 3 3
1054 1 92 107 94 118 112 110 3 2 3 3
1054 1 113 112 98 125 112 100 2 2 3 4
